
Процесс bash стартовал 06.02.2022 16:28:17
Максимальный объем потребляемой памяти в момент времени: 9 Мбайт
Использует следующие ресурсы(модули):

№  Модуль                           Путь
1 bash.exe                 A:\Soft\Git\usr\bin\bash.exe                 
2 ntdll.dll                C:\Windows\SYSTEM32\ntdll.dll                Системная библиотека NT
3 KERNEL32.DLL             C:\Windows\system32\KERNEL32.DLL             Библиотека клиента Windows NT BASE API
4 KERNELBASE.dll           C:\Windows\system32\KERNELBASE.dll           Библиотека клиента Windows NT BASE API
5 msys-2.0.dll             A:\Soft\Git\usr\bin\msys-2.0.dll             Cygwin POSIX Emulation DLL
6 USER32.dll               C:\Windows\system32\USER32.dll               Многопользовательская библиотека клиента USER API Windows
7 GDI32.dll                C:\Windows\system32\GDI32.dll                GDI Client DLL
8 advapi32.dll             C:\Windows\system32\advapi32.dll             Расширенная библиотека API Windows 32
9 msvcrt.dll               C:\Windows\system32\msvcrt.dll               Windows NT CRT DLL
10 sechost.dll             C:\Windows\SYSTEM32\sechost.dll              Host for SCM/SDDL/LSA Lookup APIs
11 RPCRT4.dll              C:\Windows\system32\RPCRT4.dll               Библиотека удаленного вызова процедур
12 SspiCli.dll             C:\Windows\system32\SspiCli.dll              Security Support Provider Interface
13 CRYPTBASE.DLL           C:\Windows\SYSTEM32\CRYPTBASE.DLL            Base cryptographic API DLL
14 bcryptPrimitives.dll    C:\Windows\SYSTEM32\bcryptPrimitives.dll     Windows Cryptographic Primitives Library
15 IMM32.DLL               C:\Windows\system32\IMM32.DLL                Multi-User Windows IMM32 API Client DLL
16 MSCTF.dll               C:\Windows\system32\MSCTF.dll                Серверная библиотека MSCTF
17 netapi32.dll            C:\Windows\system32\netapi32.dll             Net Win32 API DLL
18 netutils.dll            C:\Windows\SYSTEM32\netutils.dll             Net Win32 API Helpers DLL
19 srvcli.dll              C:\Windows\SYSTEM32\srvcli.dll               Server Service Client DLL
20 wkscli.dll              C:\Windows\SYSTEM32\wkscli.dll               Workstation Service Client DLL
21 SAMCLI.DLL              C:\Windows\SYSTEM32\SAMCLI.DLL               Security Accounts Manager Client DLL
22 SAMLIB.dll              C:\Windows\SYSTEM32\SAMLIB.dll               SAM Library DLL
23 iphlpapi.dll            C:\Windows\system32\iphlpapi.dll             API вспомогательного приложения IP
24 NSI.dll                 C:\Windows\system32\NSI.dll                  NSI User-mode interface DLL
25 WINNSI.DLL              C:\Windows\SYSTEM32\WINNSI.DLL               Network Store Information RPC interface
26 DNSAPI.dll              C:\Windows\SYSTEM32\DNSAPI.dll               Динамическая библиотека API DNS-клиента
27 WS2_32.dll              C:\Windows\system32\WS2_32.dll               32-разрядная библиотека Windows Socket 2.0
28 dhcpcsvc6.DLL           C:\Windows\SYSTEM32\dhcpcsvc6.DLL            Клиент DHCPv6
29 dhcpcsvc.DLL            C:\Windows\SYSTEM32\dhcpcsvc.DLL             Служба DHCP-клиента
